n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,n_topics,outlier_ratio_before,outlier_ratio_after,ratio_topic_0_after,ratio_topic_1_after,ratio_topic_0_force,ratio_topic_1_force,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,time_seconds,score
5,10,120,30,0.2,5,0.7,114,0.4564,0.3911,0.2549,0.0732,0.3677,0.0845,0.6694,0.9526,0.6483,0.9272,0.4492,0.9421,1027.5984,1.0754
15,10,80,55,0.2,5,0.7,104,0.5733,0.5224,0.1325,0.0672,0.2179,0.0749,0.6574,0.9625,0.6513,0.9221,0.4798,0.9462,1037.4224,1.0648
15,10,80,30,0.2,5,0.7,85,0.4926,0.4413,0.3193,0.0641,0.5408,0.0813,0.6561,0.9647,0.6332,0.9353,0.4698,0.9576,994.8862,1.0175
15,10,100,30,0.2,5,0.7,67,0.4988,0.431,0.3316,0.0654,0.5672,0.0837,0.6286,0.9746,0.6264,0.9597,0.4776,0.9612,922.5097,1.017
5,5,100,80,0.2,5,0.7,137,0.5487,0.4741,0.0753,0.0531,0.0849,0.068,0.6578,0.9438,0.6535,0.9015,0.4364,0.9321,1056.9871,0.9276
5,5,120,30,0.2,5,0.7,97,0.4009,0.3157,0.3965,0.0745,0.5392,0.0838,0.6574,0.9526,0.6474,0.9289,0.4501,0.9402,936.0976,0.8992
15,10,100,55,0.2,5,0.7,89,0.5741,0.5076,0.1401,0.0674,0.2259,0.0748,0.6342,0.9607,0.6381,0.9461,0.4831,0.9449,970.7954,0.8866
5,10,100,30,0.2,5,0.7,141,0.4459,0.403,0.2458,0.0728,0.3672,0.0843,0.6716,0.9496,0.6536,0.9021,0.4406,0.9184,1185.3756,0.8781
5,5,100,55,0.2,5,0.7,132,0.4983,0.4326,0.0732,0.0833,0.0831,0.1438,0.6598,0.9485,0.6639,0.9,0.4282,0.9212,1075.2682,0.8182
15,5,80,30,0.2,5,0.7,60,0.3857,0.2935,0.5164,0.0705,0.7159,0.0831,0.6582,0.9533,0.6253,0.9333,0.4498,0.9583,910.9731,0.7338
15,5,80,55,0.2,5,0.7,83,0.5104,0.4106,0.3468,0.0847,0.5353,0.1062,0.6466,0.9687,0.6336,0.9301,0.464,0.9578,952.6597,0.7225
5,3,120,105,0.2,5,0.7,75,0.3696,0.2224,0.5302,0.076,0.6348,0.0823,0.644,0.956,0.625,0.9373,0.4003,0.96,801.6527,0.7013
15,5,120,30,0.2,5,0.7,41,0.3931,0.2352,0.5676,0.0723,0.725,0.0801,0.6317,0.9756,0.5689,0.9634,0.4035,0.978,816.8258,0.6608
5,3,140,30,0.2,5,0.7,37,0.1293,0.0745,0.8604,0.0086,0.907,0.0105,0.6239,0.9568,0.5443,0.9486,0.4403,0.9432,730.252,0.6407
15,5,140,55,0.2,5,0.7,51,0.5214,0.3838,0.3556,0.0875,0.5155,0.1062,0.6218,0.9804,0.5819,0.9765,0.4032,0.9784,823.6645,0.6372
5,5,100,30,0.2,5,0.7,120,0.3926,0.3316,0.3779,0.0739,0.5316,0.0833,0.6584,0.9442,0.6498,0.9025,0.4535,0.9317,1072.3728,0.5709
15,5,100,55,0.2,5,0.7,70,0.5149,0.3773,0.3683,0.0874,0.54,0.1101,0.6348,0.9671,0.6134,0.9457,0.4457,0.9671,894.8762,0.5428
15,5,120,55,0.2,5,0.7,57,0.5188,0.3824,0.3686,0.0866,0.5507,0.1066,0.6135,0.9789,0.5934,0.9649,0.4422,0.9789,842.2965,0.5097
15,5,100,30,0.2,5,0.7,51,0.3888,0.2579,0.5467,0.072,0.719,0.0829,0.6324,0.9627,0.5947,0.9431,0.4092,0.9706,862.3109,0.4657
15,5,140,30,0.2,5,0.7,31,0.3983,0.2123,0.5972,0.0734,0.7464,0.0826,0.6079,0.9774,0.5465,0.9774,0.411,0.9806,783.4902,0.3647
5,5,80,30,0.2,5,0.7,148,0.3884,0.3486,0.3598,0.0736,0.5299,0.0832,0.6643,0.9378,0.6551,0.8716,0.4504,0.9182,1245.9566,0.3126
5,3,80,55,0.2,5,0.7,85,0.2037,0.1347,0.7504,0.0134,0.8252,0.0158,0.6474,0.9224,0.6234,0.8765,0.4439,0.9424,987.9426,0.2943
5,3,100,80,0.2,5,0.7,78,0.2936,0.187,0.5874,0.0809,0.6962,0.0862,0.6549,0.9385,0.6119,0.9179,0.4229,0.95,842.5647,0.2071
5,3,120,30,0.2,5,0.7,48,0.1238,0.0832,0.8492,0.0084,0.9014,0.0104,0.5851,0.9396,0.5584,0.9354,0.4245,0.9417,795.7748,-0.0844
15,3,80,55,0.2,5,0.7,32,0.0939,0.0506,0.8306,0.078,0.8678,0.08,0.6728,0.925,0.6101,0.8875,0.5121,0.925,875.5224,-0.0912
5,3,100,30,0.2,5,0.7,58,0.1195,0.078,0.8509,0.0084,0.8943,0.0091,0.6084,0.9241,0.5763,0.8845,0.44,0.9466,856.4758,-0.3586
5,3,80,30,0.2,5,0.7,71,0.1151,0.0798,0.8469,0.0084,0.8924,0.0088,0.6008,0.9239,0.5799,0.8662,0.4296,0.9324,991.0146,-0.5669
