n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,combined,custom_score
5,3,140,55,0.2,5,0.7,43,43,43,0.2197342000609418,0.13400160948816714,0.7802657999390582,0.8659983905118329,1.0,0.765913228273863,0.013700182044049972,0.8440320022501582,0.016001125079107125,True,0.6644332205451116,0.9651162790697675,0.6641305705408878,0.9418604651162791,0.41120720354279705,0.9744186046511628,0.6641305705408878,0.9418604651162791,729.950169,0.8029955178285835,5.805646190293354
5,3,120,55,0.2,5,0.7,56,56,56,0.21331187349110484,0.13054042862388762,0.7866881265088952,0.8694595713761124,1.0,0.7614090053206866,0.013684555945339906,0.8354532740583323,0.015954246782976928,True,0.6724112761866975,0.9553571428571429,0.6091323290083291,0.9375,0.4318161939748728,0.9428571428571428,0.6091323290083291,0.9375,778.357576,0.7733161645041646,5.301513260763553
15,10,140,105,0.2,5,0.7,77,77,77,0.6558781476822589,0.5587150659030713,0.3441218523177411,0.4412849340969287,1.0,0.0643873397348251,0.04954645248494035,0.0733254681969826,0.060613636896344275,True,0.659095826799773,0.9766233766233766,0.6649051428015492,0.9675324675324676,0.41757672621062264,0.9688311688311688,0.6649051428015492,0.9675324675324676,912.935129,0.8162188051670084,5.030700475230772
5,3,140,80,0.2,5,0.7,51,51,51,0.30553710807791173,0.18166511707854457,0.6944628919220883,0.8183348829214554,1.0,0.6079450898891329,0.0807166128868436,0.7120656921189771,0.08646311068747022,True,0.6748720036127128,0.9607843137254902,0.643500895224345,0.9627450980392157,0.39574973547269515,0.9745098039215686,0.643500895224345,0.9627450980392157,739.814611,0.8031229966317803,5.022140420305422
15,5,120,80,0.2,5,0.7,76,76,76,0.5743216319897493,0.4709628020720207,0.4256783680102507,0.5290371979279793,1.0,0.1598120180325179,0.05916431624098569,0.2658585369283778,0.06818057519669352,True,0.6585809891211368,0.9802631578947368,0.6517585667266136,0.9565789473684211,0.43396108672583483,0.968421052631579,0.6517585667266136,0.9565789473684211,874.526154,0.8041687570475173,4.975316235780447
15,10,120,105,0.2,5,0.7,87,87,87,0.654842918642717,0.5783101936854935,0.34515708135728296,0.4216898063145065,1.0,0.06421154612433687,0.04850341039604347,0.07142689720370964,0.05965263182567524,True,0.6659879801255602,0.9701149425287356,0.6765579721357736,0.9528735632183908,0.43357192904472713,0.9563218390804598,0.6765579721357736,0.9528735632183908,949.61722,0.8147157676770822,4.9430961249782115
5,3,100,55,0.2,5,0.7,66,66,66,0.20890531365486636,0.14149823034432107,0.7910946863451337,0.8585017696556789,1.0,0.7496113007945872,0.01334468829839598,0.8301364939722324,0.016079255572657453,True,0.6469542869727961,0.9484848484848485,0.6372466450903885,0.9121212121212121,0.43227382627106026,0.9484848484848485,0.6372466450903885,0.9121212121212121,838.639791,0.7746839286058003,4.913222325510503
15,5,140,105,0.2,5,0.7,69,69,69,0.6163245853224055,0.4771390175871741,0.38367541467759453,0.5228609824128259,1.0,0.11498074083333984,0.06203951840363776,0.1879585283340235,0.07062605964481877,True,0.6606220255896077,0.9782608695652174,0.6477260558138174,0.9608695652173913,0.38637706277766487,0.9739130434782609,0.6477260558138174,0.9608695652173913,858.412277,0.8042978105156043,4.904294544681367
15,5,140,80,0.2,5,0.7,65,65,65,0.5758842418607558,0.4458672875436554,0.4241157581392442,0.5541327124563445,1.0,0.17071122188278864,0.059926088553101386,0.2700346118086428,0.0701768093069044,True,0.6500927371426584,0.9769230769230769,0.629203223115045,0.9661538461538461,0.4081523111988589,0.9769230769230769,0.629203223115045,0.9661538461538461,843.47284,0.7976785346344455,4.753713312128334
15,10,120,80,0.2,5,0.7,88,88,88,0.6394707440366901,0.55601175082623,0.3605292559633099,0.44398824917377006,1.0,0.1013352501347751,0.06182465954637435,0.18652092725269745,0.07092686204498753,True,0.6686558518765822,0.9738636363636364,0.6652060596324154,0.9420454545454545,0.44523765488796774,0.95,0.6652060596324154,0.9420454545454545,948.751943,0.8036257570889349,4.727018847092544
