n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,error
5,5,60,30,0.2,5,0.1,66,66,66,0.5999601534482893,0.32612449312842307,0.40003984655171065,0.6738755068715769,1.0,0.5491440804431562,0.014817448101819659,0.7428764522505489,0.015473744247642413,True,0.38513413994058027,0.9924242424242424,0.43758706416389886,0.9924242424242424,0.46647832013188517,0.9924242424242424,0.43758706416389886,0.9924242424242424,687.393002,
5,5,60,30,0.2,5,0.4,66,66,66,0.5999601534482893,0.32612449312842307,0.40003984655171065,0.6738755068715769,1.0,0.5491440804431562,0.014817448101819659,0.7428764522505489,0.015473744247642413,True,0.5426830707014345,0.9742424242424242,0.48600333162226006,0.9606060606060606,0.3849469029365059,0.9712121212121212,0.48600333162226006,0.9606060606060606,718.20027,
5,5,60,30,0.2,5,0.7,66,66,66,0.5999601534482893,0.32612449312842307,0.40003984655171065,0.6738755068715769,1.0,0.5491440804431562,0.014817448101819659,0.7428764522505489,0.015473744247642413,True,0.6190451095501156,0.9606060606060606,0.5999024808477709,0.9015151515151515,0.4693933643995171,0.8939393939393939,0.5999024808477709,0.9015151515151515,820.561752,
5,5,60,30,0.2,30,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.44261,max_df corresponds to < documents than min_df
5,5,60,30,0.2,30,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.036651,max_df corresponds to < documents than min_df
5,5,60,30,0.2,30,0.7,66,66,66,0.5999601534482893,0.32612449312842307,0.40003984655171065,0.6738755068715769,1.0,0.5491440804431562,0.014817448101819659,0.7428764522505489,0.015473744247642413,True,0.5175883403655563,0.803030303030303,0.5316434635342719,0.796969696969697,0.4228165422913528,0.8075757575757576,0.5316434635342719,0.796969696969697,887.966893,
5,5,60,30,0.2,60,0.1,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.798694,max_df corresponds to < documents than min_df
5,5,60,30,0.2,60,0.4,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.545303,max_df corresponds to < documents than min_df
5,5,60,30,0.2,60,0.7,0,0,0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.112962,max_df corresponds to < documents than min_df
5,5,60,55,0.2,5,0.1,80,80,80,0.7207928682485487,0.4725566641404474,0.2792071317514513,0.5274433358595526,1.0,0.1338297224023564,0.02765428819213851,0.16919549030791228,0.032881218210655434,True,0.3838853323834118,0.98875,0.5293066530665004,0.99125,0.559251390970965,0.98875,0.5293066530665004,0.99125,680.079412,
