n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics_before,n_topics_after,n_topics_force,outlier_ratio_before,outlier_ratio_after,topic_coverage_before,topic_coverage,topic_coverage_force,ratio_topic_0,ratio_topic_1,ratio_topic_0_force,ratio_topic_1_force,outlier_reduction_success,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,coherence,diversity,time_seconds,combined
10,20,60,10,0.0,126,126,126,0.8951566907048152,0.6982561273839567,0.1048433092951848,0.3017438726160433,1.0,0.0048831558468954,0.0085904477658585,0.0078403950277753,0.0108210733567203,True,0.6482986170890666,0.9023809523809524,0.6492843218830261,0.7714285714285715,0.5631009106579278,0.7698412698412699,0.6492843218830261,0.7714285714285715,1224.672932,0.7103564466557988
10,20,60,10,0.2,25,25,25,0.3360626919080248,0.12967708667015648,0.6639373080919753,0.8703229133298435,1.0,0.8303396332554632,0.014778382855044495,0.9407770858888516,0.01504402653311561,True,0.6696360463129286,0.988,0.630928941983,0.968,0.5912749258921144,0.972,0.630928941983,0.968,950.690882,0.7994644709915
10,20,60,30,0.0,98,98,98,0.8970201029759906,0.6476002218906017,0.1029798970240095,0.3523997781093983,1.0,0.009320967880554101,0.005953543608534975,0.011922713315780016,0.007520060004219046,True,0.6766090241793574,0.9183673469387755,0.6511460730744524,0.8112244897959183,0.5439780963801155,0.8193877551020409,0.6511460730744524,0.8112244897959183,1071.316866,0.7311852814351854
10,20,60,30,0.2,44,44,44,0.6483307420052973,0.3585720870998742,0.3516692579947028,0.6414279129001258,1.0,0.45523122719566217,0.03738934768850935,0.6641677930479487,0.04534303193193272,True,0.6975972637600388,0.9931818181818182,0.6358347369832384,0.9704545454545455,0.49964417500703834,0.9522727272727273,0.6358347369832384,0.9704545454545455,930.027344,0.803144641218892
10,20,60,55,0.0,81,81,81,0.9023759483088655,0.6395410614808854,0.09762405169113453,0.36045893851911465,1.0,0.008797493573766905,0.005762123899336672,0.011348454188185107,0.007531779578251596,True,0.6965620016791451,0.9160493827160494,0.664142896690456,0.8234567901234567,0.5363037833608932,0.8320987654320988,0.664142896690456,0.8234567901234567,1019.679386,0.7437998434069564
10,20,60,55,0.2,49,49,49,0.7228867654756975,0.47634599307763825,0.2771132345243025,0.5236540069223617,1.0,0.13882616746489987,0.16280441593549547,0.1673203584627044,0.2622410950769976,True,0.6842184143535002,0.9877551020408163,0.6254832522542868,0.9428571428571428,0.4896982425651125,0.9387755102040817,0.6254832522542868,0.9428571428571428,929.498199,0.7841701975557148
10,20,80,10,0.0,104,104,104,0.892363525560391,0.6398067051589564,0.10763647443960904,0.3601932948410435,1.0,0.013434538365978858,0.0062270003359611225,0.03370549491761139,0.009996796649764437,True,0.6652332902056084,0.8903846153846153,0.6244754363670154,0.7836538461538461,0.5261977785277101,0.7990384615384616,0.6244754363670154,0.7836538461538461,1042.897918,0.7040646412604308
10,20,80,10,0.2,18,18,18,0.33789094545710247,0.07536467407864615,0.6621090545428976,0.9246353259213539,1.0,0.8896992757303248,0.014778382855044495,0.9554695252009907,0.01530185716183169,True,0.6682500749084049,0.9888888888888889,0.6493499281623243,0.9777777777777777,0.5919103590558745,0.9888888888888889,0.6493499281623243,0.9777777777777777,843.352861,0.8135638529700511
10,20,80,30,0.0,83,83,83,0.9009461602768944,0.6149885538826949,0.09905383972310552,0.38501144611730514,1.0,0.009461602768944692,0.006016048003375237,0.011868021970294787,0.007563031775671727,True,0.6815947500445322,0.9192771084337349,0.6360369038591015,0.8156626506024096,0.5232386492072963,0.8289156626506025,0.6360369038591015,0.8156626506024096,1003.598925,0.7258497772307555
10,20,80,30,0.2,35,35,35,0.650643404614387,0.2757576704612043,0.34935659538561303,0.7242423295387957,1.0,0.5367564906907517,0.03967075810017892,0.7151909118609903,0.04559695603597128,True,0.7018953639802824,0.9942857142857143,0.6145573277974381,0.9714285714285714,0.4989721209815815,0.9657142857142857,0.6145573277974381,0.9714285714285714,883.005546,0.7929929496130048
