n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,time_seconds
90,5,150,80,0,1,0.5,eom,3,0.00249237568540331,0.997507624314597,0.362788156922902,1,3,0.00114217531409821,0.998857824685902,0.983416870439639,0.0112922281053627,0.588742776192588,1,1209.647764
90,5,250,80,0,1,0.5,eom,3,0.00249237568540331,0.997507624314597,0.362788156922902,1,3,0.00114217531409821,0.998857824685902,0.983416870439639,0.0112922281053627,0.588742776192588,1,1178.170992
90,5,250,150,0,1,0.5,eom,3,0.00306935084407148,0.996930649155929,0.340185946522744,1,3,0.00114217531409821,0.998857824685902,0.98341294543856,0.0112726030999659,0.588742776192588,1,1186.968795
90,5,350,250,0,1,0.5,eom,3,0.00387397606534342,0.996126023934657,0.333107099663216,1,3,0.00114217531409821,0.998857824685902,0.98341294543856,0.0112372780902515,0.359820158907115,1,1193.319193
50,5,250,80,0,1,0.5,eom,3,0.00392892608045467,0.996071073919545,0.442600253667685,1,3,0.00119712532920947,0.998802874670791,0.983024370331702,0.011472778155014,0.370950322308654,1,921.444722
50,5,350,80,0,1,0.5,eom,3,0.00392892608045467,0.996071073919545,0.442600253667685,1,3,0.00119712532920947,0.998802874670791,0.983024370331702,0.0114767031560934,0.370950322308654,1,923.745745
90,5,350,80,0,1,0.5,eom,3,0.00249237568540331,0.997507624314597,0.362788156922902,1,3,0.00120890033244759,0.998791099667552,0.983416870439639,0.0112255030870134,0.588742776192588,1,1176.551139
90,5,350,150,0,1,0.5,eom,3,0.00306935084407148,0.996930649155929,0.340185946522744,1,3,0.00121282533352697,0.998787174666473,0.98341294543856,0.0112019530805371,0.588742776192588,1,1189.138743
90,5,250,40,0,1,0.5,eom,3,0.003273450900199,0.996726549099801,0.329485040370556,1,3,0.00121282533352697,0.998787174666473,0.98341294543856,0.0111705530719021,0.359820158907115,1,1166.692976
90,5,350,40,0,1,0.5,eom,3,0.003273450900199,0.996726549099801,0.329485040370556,1,3,0.00121282533352697,0.998787174666473,0.98341294543856,0.0111705530719021,0.359820158907115,1,1164.335787
90,5,150,40,0,1,0.5,eom,4,0.00586002661150732,0.994139973388493,0.435904461675443,1,4,0.00121282533352697,0.998787174666473,0.98341294543856,0.00876060240916566,0.451473610394091,1,1162.425399
90,5,250,10,0,1,0.5,eom,3,0.0029555258127696,0.99704447418723,0.357906821395235,1,3,0.00129917535727322,0.998700824642727,0.983326595414814,0.0111352280621877,0.355150483468074,1,1165.708001
